# Time-averaged data for fix observables
# TimeStep v_temperature v_pressure v_potential v_volume v_rho c_Q6
354000 0.99569 6.94286 -6.64961 3826.93 1.04523 0.508837
355000 1.01001 6.92658 -6.63589 3832.73 1.04364 0.507471
356000 1.00258 6.81011 -6.65493 3832.88 1.04361 0.508569
357000 1.00244 6.94649 -6.63551 3831.01 1.04411 0.507503
358000 1.00683 6.90386 -6.62111 3838.06 1.0422 0.506491
359000 1.00491 6.87762 -6.63938 3834.11 1.04327 0.508016
360000 1.00175 6.85527 -6.6506 3831.86 1.04388 0.508769
361000 1.00064 6.88146 -6.63604 3834.31 1.04321 0.507713
362000 0.99563 6.88438 -6.63438 3834.33 1.04321 0.507082
363000 0.992813 6.86642 -6.63744 3834.52 1.04316 0.507602
364000 1.00288 6.85588 -6.6322 3837.29 1.04241 0.507345
365000 1.00644 6.91609 -6.62681 3836 1.04277 0.506905
366000 0.992914 6.79665 -6.6456 3836.13 1.04272 0.508042
367000 1.004 6.8482 -6.6281 3838.95 1.04195 0.507017
368000 0.999661 6.85611 -6.63744 3835.41 1.04292 0.507081
369000 1.0036 6.79091 -6.6282 3842.08 1.0411 0.506201
370000 0.987137 6.78983 -6.65711 3832.39 1.04374 0.508975
371000 1.00481 6.84307 -6.63348 3837.78 1.04228 0.507947
372000 0.999454 6.77819 -6.63986 3839.03 1.04193 0.506863
373000 1.00402 6.73647 -6.64024 3841.38 1.04129 0.507067
374000 0.993812 6.82424 -6.6474 3834.04 1.04329 0.507492
375000 1.00063 6.75309 -6.65037 3837.22 1.04243 0.508103
376000 1.00617 6.72061 -6.64167 3842.08 1.04111 0.50759
377000 0.999228 6.73941 -6.64383 3840.14 1.04163 0.50773
378000 0.988906 6.82076 -6.64263 3835.23 1.04297 0.507471
379000 1.0012 6.70929 -6.63691 3844.02 1.04058 0.507121
380000 1.00029 6.73472 -6.63859 3842.16 1.04108 0.507071
381000 1.00389 6.71265 -6.63968 3843.2 1.0408 0.507088
382000 0.999537 6.72173 -6.63696 3843.21 1.0408 0.507297
383000 0.993789 6.72954 -6.64349 3840.43 1.04155 0.507458
384000 0.99935 6.67909 -6.64864 3841.95 1.04114 0.50774
385000 1.00406 6.73157 -6.62843 3845.45 1.0402 0.506186
386000 0.997178 6.69043 -6.63741 3844.66 1.04041 0.506662
387000 0.990503 6.71563 -6.62695 3846.12 1.04001 0.506199
388000 1.01397 6.65981 -6.63366 3848.37 1.03941 0.506113
389000 1.00121 6.65732 -6.6401 3845.81 1.04009 0.507052
390000 1.0046 6.66663 -6.63161 3848.07 1.03949 0.50621
391000 1.0011 6.67061 -6.63119 3847.87 1.03954 0.506352
392000 1.00289 6.63314 -6.62883 3850.6 1.03881 0.50604
393000 0.99542 6.67602 -6.62686 3848.53 1.03937 0.50579
394000 1.00354 6.66406 -6.63221 3848.13 1.03947 0.506525
395000 1.00314 6.66576 -6.61242 3853.94 1.0379 0.50511
396000 1.00366 6.60653 -6.63067 3851.82 1.03847 0.505926
397000 0.990444 6.60722 -6.64187 3847.63 1.03962 0.507017
398000 1.00093 6.66701 -6.6296 3848.59 1.03935 0.506486
399000 1.00333 6.62092 -6.64282 3847.3 1.0397 0.506942
400000 1.01368 6.48239 -6.63314 3858.69 1.03663 0.505726
401000 1.00429 6.59067 -6.61922 3856.06 1.03733 0.505081
402000 1.00114 6.59891 -6.63577 3850.58 1.03881 0.506192
403000 0.996575 6.56977 -6.63327 3852.41 1.03831 0.505998
